smiles,qed
CC[C@@H](N[C@@H](C)CC(N)=O)c1ccc(Cl)c(C(=O)c2ccc(C#N)cc2)c1F,0.6556847521215925
CC[C@@H](N[C@@H](C)CC(N)=O)c1ccc(F)c(C(=O)c2ccccc2)c1F,0.7079089765928087
COc1ccc([C@H](N[C@@H](C)CC(N)=O)C2CC2)c(F)c1C(=O)c1cccc(F)c1,0.629211577670093
CC[C@@H](NC(=O)C[C@H](N)C(C)C)c1ccc(Cl)c(C(=O)c2cccnc2)c1F,0.6486832892190634
CC[C@H](NCCC(N)=O)c1ccc(Cl)c(C(=O)c2ccccc2)c1F,0.7042380769792939
CC[C@@H](N[C@@H](C)CC(N)=O)c1ccc(OC)c(C(=O)c2cccc(F)c2)c1F,0.6422679618638293
CC[C@H](NCCO)c1ccc(Cl)c(C(=O)c2ccccc2)c1F,0.7577039973164549
COc1ccc([C@H](N[C@@H](C)CC(N)=O)C2CC2)c(F)c1C(=O)c1ccc(F)cc1,0.629211577670093
CC[C@H](NC(=O)CCN)c1ccc(Cl)c(C(=O)c2ccc(N)nc2)c1F,0.6410764645070997
CC[C@@H](N[C@@H](C)CC(N)=O)c1ccc(Cl)c(C(=O)c2cccc(F)c2)c1F,0.6603494794028207
CC[C@H](N)c1ccc(Cl)c(C(=O)c2ccccc2)c1F,0.8611595605214845
CC[C@H](N)c1ccc(Cl)c(C(=O)c2ccccc2)c1F,0.8611595605214845
C[C@@H](CC(N)=O)N[C@@H](c1ccc(Cl)c(C(=O)c2ccccc2)c1F)C1CC1,0.6708052222277274
CC[C@@H](N[C@@H](C)CC(N)=O)c1ccc(Cl)c(C(=O)c2ccc(N)c(Cl)c2)c1F,0.4342504044130048
CC[C@@H](N[C@@H](C)CO)c1ccc(Cl)c(C(=O)c2ccc(N)nc2)c1F,0.655995573857666
C[C@@H](CC(N)=O)N[C@@H](c1ccc(Cl)c(C(=O)c2ccncc2)c1F)C1CC1,0.6773412111579187
CCC(NC(C)(C)CO)c1ccc(Cl)c(C(=O)c2ccccc2)c1F,0.7108150285433353
CC[C@@H](N[C@@H](C)CC(N)=O)c1ccc(C)c(C(=O)c2ccccc2)c1F,0.7090064879181164
CC[C@H](NC(C)(C)CC(N)=O)c1ccc(Cl)c(C(=O)c2ccc(N)nc2)c1F,0.5816825262461536
CC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)N[C@H](CN(C)S(C)(=O)=O)C(C)(C)C)C(C)(C)C)C2(C)C)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,0.2922497251454467
CN(C[C@@H](NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](CC1CCC1)B1O[C@@H]3C[C@@H]4C[C@@H](C4(C)C)[C@]3(C)O1)C2(C)C)C(C)(C)C)C(C)(C)C)S(C)(=O)=O,0.26436875327940884
CC[C@H](NC(=O)C1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C)C2(C)C)B(O)O,0.38225900022362197
CC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)N[C@H](CN(C)S(C)(=O)=O)C(C)(C)C)C(C)(C)C)C2(C)C)B(O)O,0.23058052003734383
CN(C[C@@H](NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](CC1CCC1)B(O)O)C2(C)C)C(C)(C)C)C(C)(C)C)S(C)(=O)=O,0.2144434127326027
C=CCNC(=O)C(=O)[C@@H]1CCCCCCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N1)C3(C)C,0.3491965754269492
C=CCNC(=O)C(=O)[C@@H]1CCCCCCCOC[C@H](NC(=O)N[C@H](CN2CCCCC2=O)C(C)(C)C)C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N1)C3(C)C,0.22469847652103928
C=CCNC(=O)C(=O)[C@@H]1CCCCCCCOC[C@H](NC(=O)N[C@H](CN2CCC(C)(C)CC2=O)C(C)(C)C)C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N1)C3(C)C,0.22175646890462905
C=CCNC(=O)C(=O)[C@@H]1CCCCCCCOC[C@H](NC(=O)N[C@H](CN(C)S(=O)(=O)CC)C(C)(C)C)C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N1)C3(C)C,0.19461357600890522
C=CCNC(=O)C(=O)[C@@H]1CCCCCCCOC[C@H](NC(=O)N[C@H](CN(C)S(=O)(=O)c2cccs2)C(C)(C)C)C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N1)C3(C)C,0.20723887406056996
C=CCNC(=O)C(=O)[C@@H]1CCCCCCCOC[C@H](NC(=O)N[C@H](CN2C(=O)CN(C)CC2=O)C(C)(C)C)C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N1)C3(C)C,0.1585380660848864
C=CCNC(=O)C(=O)[C@@H]1CCCCCCCOC[C@H](NC(=O)N[C@H](CN2C(=O)CC(C)(C)CC2=O)C(C)(C)C)C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N1)C3(C)C,0.16701888152503097
C=CCNC(=O)C(=O)[C@@H]1CCCCCCCOC[C@H](NC(=O)N[C@H](CN2C(=O)C3CCC(C3)C2=O)C(C)(C)C)C(=O)N2C[C@H]3[C@@H]([C@H]2C(=O)N1)C3(C)C,0.1665750938817366
