PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition,Standard Deviation
RESULT_TYPE,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 6 micromolar.,Standard deviation of the counterscreen assay derived from the normalized percent inhibition of the triplicate data for each compound.
RESULT_UNIT,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,6,
241,49647098,4437603,Active,75,,,70.13,2.56248
242,49647116,1831132,Inactive,0,,,-2.09,1.78141
243,49647126,9636511,Inactive,0,,,-0.44,3.40773
244,49648268,17582529,Active,25,,,23.08,3.21169
245,49649061,3634352,Inactive,8,,,8.12,1.80167
246,49649145,1009382,Inactive,8,,,7.65,0.691471
247,49665966,5928454,Inactive,0,,,-1.27,1.67895
248,49667379,24761173,Active,48,,,44.62,0.918433
249,49667911,4621376,Active,15,,,14.08,0.448868
250,49668045,24761221,Active,24,,,22.74,1.0164
251,49668659,675749,Active,14,,,13.38,0.0969447
252,49669425,1224165,Inactive,10,,,9.83,0.595336
253,49669782,741948,Active,28,,,26.39,1.06673
254,49669969,3912197,Active,36,,,33.95,2.01869
255,49670203,135403580,Inactive,0,,,0.53,0.896171
256,49670685,2952090,Inactive,0,,,-0.06,1.60803
257,49670811,135451179,Active,41,,,38.5,0.844237
258,49670964,20903731,Inactive,0,,,-0.56,0.668136
259,49671052,2057118,Active,39,,,36.04,1.11312
260,49671558,4794522,Inactive,0,,,-1.54,0.981402
261,49672916,740914,Inactive,10,,,9.91,0.64303
262,49672919,7996726,Inactive,1,,,1.27,1.58994
263,49673799,2384236,Active,25,,,23.88,0.713109
264,49674172,6903089,Active,25,,,23.16,1.11789
265,49674240,5114648,Inactive,12,,,11.14,1.31796
266,49674290,6268409,Inactive,7,,,6.47,1.08483
267,49674413,4961646,Active,65,,,60.81,1.77392
268,49675101,2333509,Inactive,12,,,11.82,0.321773
269,49675892,3475954,Active,37,,,34.52,1.83101
270,49675988,3859741,Active,80,,,74,0.399939
271,49675989,3811656,Active,88,,,81.44,0.870052
272,49676706,4586109,Inactive,5,,,5.49,1.13217
273,49676971,4868361,Active,39,,,36.47,2.43717
274,49677473,2406331,Inactive,13,,,12.02,0.2749
275,49677939,2530053,Active,22,,,20.59,0.620942
276,49679664,710241,Inactive,0,,,-3.72,1.66424
277,49679728,24762071,Inactive,0,,,-5.37,0.608961
278,49680100,2396278,Inactive,4,,,3.94,0.462803
279,49680425,3555173,Active,84,,,77.92,2.0177
280,49713840,24789267,Active,14,,,12.96,0.892536
281,49713849,24789276,Inactive,5,,,4.78,1.46577
282,49714295,20862125,Inactive,0,,,-2.02,0.263654
283,49714366,24789460,Inactive,8,,,7.56,1.4839
284,49714426,24789481,Inactive,12,,,11.81,1.33078
285,49714442,24789497,Inactive,4,,,4.3,0.843741
286,49714449,24789504,Inactive,8,,,7.62,0.772416
287,49715318,24789625,Inactive,0,,,0.63,1.33009
288,49715986,24789769,Inactive,0,,,-1.02,0.124438
289,49716137,9609431,Inactive,7,,,6.64,1.40257
290,49716183,5824722,Inactive,8,,,8.19,1.34899
291,49717003,4917203,Active,52,,,48.79,1.015
292,49717616,4189659,Inactive,5,,,5.24,0.848687
293,49717805,4438422,Inactive,1,,,1.26,1.14287
294,49717936,1304219,Active,14,,,13.23,0.665139
295,49718261,24790041,Inactive,8,,,8.05,0.628042
296,49718270,24790050,Inactive,6,,,5.85,0.86437
297,49718513,24790237,Inactive,1,,,1.06,0.596274
298,49718735,24790407,Active,17,,,15.89,1.80823
299,49718804,2734449,Inactive,8,,,8.06,1.54287
300,49719044,807412,Active,77,,,71.45,0.586487
301,49719738,22583081,Inactive,1,,,1.73,1.33002
302,49720560,24791295,Inactive,1,,,1.64,1.48629
303,49720571,24791306,Inactive,7,,,6.58,1.57306
